City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Carnarvon,AU,-24.8667,113.6333,57.27,58,90,8.05,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,55.11,99,0,4.61,mist
108,Mahebourg,MU,-20.4081,57.7,71.26,88,75,6.91,broken clouds
109,Calama,CL,-22.4667,-68.9333,66.69,12,12,19.57,few clouds
110,Zhanakorgan,KZ,43.9098,67.2495,75.4,21,3,13.4,clear sky
111,Albany,US,42.6001,-73.9662,85.17,60,78,8.95,broken clouds
112,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,25.32,broken clouds
113,Severomorsk,RU,69.0689,33.4162,48.6,75,70,6.96,broken clouds
114,Phetchaburi,TH,12.9667,99.5833,80.29,94,91,3.24,overcast clouds
115,Kasongo-Lunda,CD,-6.4667,16.8167,72.63,32,58,1.19,broken clouds
116,Sechura,PE,-5.5569,-80.8222,74.68,60,19,14.58,few clouds
117,Lagoa,PT,39.05,-27.9833,66.56,75,46,15.66,scattered clouds
118,Saldanha,ZA,-33.0117,17.9442,46.45,78,0,10.0,clear sky
119,Loa Janan,ID,-0.583,117.095,70.07,99,100,2.24,overcast clouds
120,Esperance,AU,-33.8667,121.9,51.64,81,100,3.96,overcast clouds
121,Henties Bay,NA,-22.116,14.2845,67.86,56,7,3.09,clear sky
122,Bay Roberts,CA,47.5999,-53.2648,74.95,80,94,1.01,overcast clouds
123,Sinegorye,RU,62.0788,150.477,65.44,47,100,4.76,overcast clouds
124,Chuy,UY,-33.6971,-53.4616,48.16,80,0,5.39,clear sky
125,Takestan,IR,36.0696,49.6959,63.84,78,56,7.87,broken clouds
126,Port Hueneme,US,34.1478,-119.1951,97.86,67,1,6.91,clear sky
127,Imeni Poliny Osipenko,RU,52.4201,136.4853,75.6,73,42,5.77,scattered clouds
128,Christchurch,NZ,-43.5333,172.6333,55.99,78,98,1.99,overcast clouds
129,New Norfolk,AU,-42.7826,147.0587,42.66,92,22,3.06,few clouds
130,Cherskiy,RU,68.75,161.3,60.37,39,42,13.38,scattered clouds
131,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,48.65,78,0,5.14,clear sky
132,Kavieng,PG,-2.5744,150.7967,83.52,77,92,14.32,light rain
133,Siguiri,GN,11.6667,-9.5,73.08,94,92,4.81,moderate rain
134,Asau,RO,46.4333,26.4,67.39,69,7,3.06,clear sky
135,Sao Filipe,CV,14.8961,-24.4956,74.61,82,0,5.7,clear sky
136,Ariquemes,BR,-9.9133,-63.0408,85.73,40,52,1.81,broken clouds
137,Tautira,PF,-17.7333,-149.15,86.02,69,67,19.22,broken clouds
138,Bani Walid,LY,31.7566,13.9942,75.88,69,0,13.65,clear sky
139,Monte Patria,CL,-30.6919,-70.9467,63.3,32,3,1.99,clear sky
140,Svobodnyy,RU,51.4,128.1333,66.6,70,49,10.87,scattered clouds
141,Osmaniye,TR,37.0742,36.2478,79.52,77,0,1.59,clear sky
142,Coahuayana,MX,18.7333,-103.6833,89.55,56,94,5.17,overcast clouds
